Year,Field_ID,Altitude_m,Annual_Rainfall_mm_year,Spring_Rainfall_mm_season,Summer_Max_Temp_C_avg,Frost_Days_count,Irrigation_L_per_tree,Tree_Age_Years,Tree_Density_per_hectare,Fertilizer_20_20_20_kg_per_tree,Soil_Type,Pest_Pressure_Index,Pruning_Intensity,Oil_Yield_kg_per_hectare,Olives_Produced_kg_per_hectare
2015,Ammatour_1_Field_1,947.0,1006.3204,223.7801,26.7,21.04,697.57,42,250,3.9,Loam,1.78,Heavy,1697.359004,6959.3041
2015,Ammatour_1_Field_2,974.8,1099.4627,264.4157,24.9,32.24,593.16,47,300,5.35,Loam,2.31,Light,1514.048907,6480.6437
2015,Ammatour_1_Field_3,847.0,1013.7025,284.0006,28.8,24.75,787.05,106,200,2.09,Clay,3.07,Heavy,1483.977796,6680.712
2015,Ammatour_1_Field_4,811.0,996.6108,274.9777,30.0,13.44,772.3,89,250,4.02,Loam,5.16,Light,900.703884,4554.8449
2015,Ammatour_1_Field_5,851.3,1104.522,303.5305,28.3,20.55,0.0,49,200,4.64,Sandy_Loam,5.37,Heavy,1278.534244,6021.287
2015,Ammatour_1_Field_6,826.5,920.7025,237.2006,30.0,15.25,740.54,81,300,4.21,Loam,2.6,Heavy,1331.213362,6725.1216
2015,Ammatour_1_Field_7,981.8,1075.7755,246.8939,24.8,43.28,841.24,74,150,4.99,Clay,3.27,Moderate,1478.659892,5553.8614
2015,Ammatour_1_Field_8,969.9,1068.6666,262.5417,26.3,44.14,568.06,24,100,3.62,Clay,3.53,Moderate,930.469027,3911.4448
2015,Ammatour_1_Field_9,918.5,805.751,203.2378,26.9,24.16,729.69,77,150,5.03,Loam,7.02,Moderate,829.660295,4502.0676
2015,Ammatour_1_Field_10,912.1,895.6143,221.9036,27.1,34.51,1115.57,106,300,2.13,Loam,6.55,Heavy,1338.33255,6592.5214
2015,Ammatour_2_Field_1,804.8,913.8018,227.1004,29.3,19.63,843.26,74,250,2.6,Clay,4.17,Light,813.243346,4878.248
2015,Ammatour_2_Field_2,988.1,966.7873,261.2718,27.9,41.62,539.31,40,200,2.08,Loam,0.64,Moderate,910.257361,4449.4792
2015,Ammatour_2_Field_3,950.6,867.9098,231.5274,27.0,27.04,563.78,28,250,6.94,Clay,4.26,Moderate,873.909757,4109.8174
